gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
ABP1,0.049329019038542976,0.4161113992218789,-0.030435827715975177,0.018893191322567802,0.9457182643135121,0.38079038670320947,False
ABLIM1,-0.10921770574804224,0.27701042647401575,-0.07653044020213237,-0.1857481459501746,0.9457182643135121,0.5575038840947163,False
OR04B08,-0.1254151313058486,0.120426663769513,0.09584490944266447,-0.02957022186318414,0.9457182643135121,0.919277344922789,False
ABI2,-0.07780254119204891,0.491876241320093,-0.11681315892401001,-0.19461570011605892,0.9457182643135121,0.30814415429119535,False
ABI1,-0.07060351454280762,0.2321881494620377,0.042350535940286246,-0.02825297860252138,0.9457182643135121,0.6341599497765164,False
cOR52N9,-0.08499263634581304,0.4589061147836784,0.11019698073401606,0.02520434438820302,0.9457182643135121,0.33827615542559164,False
cOR52N8,0.12813056926835686,0.18814745390719637,-0.09607094330705017,0.0320596259613067,0.9457182643135121,0.7255016543653062,False
ACE2,0.10667075623596883,0.5424159251455567,0.11221364514446866,0.2188844013804375,0.9457182643135121,0.2656675682167506,False
ACD,-0.08223577975535212,0.3510595417763427,-0.10416324065133975,-0.18639902040669187,0.9457182643135121,0.45461921837208746,False
OR01C09,-0.24497293757867492,0.09158703905252687,-0.1375053172333033,-0.3824782548119782,0.9457182643135121,1.0381659812036987,False
ACCN3,-0.14149404150756145,0.40680693708159765,-0.06808378522128443,-0.20957782672884587,0.9457182643135121,0.3906116498727668,False
ACCN2,0.15601891433427226,0.4638923939446993,0.03578625007786084,0.1918051644121331,0.9457182643135121,0.33358274818597516,False
ACBD6,-0.09036179774839415,0.12121632323886077,-0.04795655302613295,-0.1383183507745271,0.9457182643135121,0.9164388932454197,False
OPTN,-0.06575683234106428,0.3664183459264455,0.11265638931839386,0.046899556977329594,0.9457182643135121,0.436022790093824,False
SCHIP1,-0.1101696833066433,0.36683680553230347,0.1891706701282349,0.07900098682159161,0.9457182643135121,0.43552709710867044,False
ACBD3,0.032705370032709444,0.29912191588207104,0.031003281168117878,0.06370865120082732,0.9457182643135121,0.5241517661797703,False
ACAT2,-0.11793614318899134,0.37407946866548114,-0.09077265581514479,-0.20870879900413614,0.9457182643135121,0.42703612738045843,False
ACAT1,-0.14672179232167298,0.06934743924253484,-0.062485098528012054,-0.20920689084968505,0.9457182643135121,1.158969571265098,False
ACAP2,-0.056370148126760444,0.29169958307951604,-0.045690237216378216,-0.10206038534313866,0.9457182643135121,0.5350641916063954,False
ACAP1,0.06539632283562784,0.4033025006684352,-0.06948357725803163,-0.004087254422403797,0.9457182643135121,0.3943690851504882,False
ACAN,0.07820641183017998,0.3909052785225894,0.016069199938716645,0.09427561176889664,0.9457182643135121,0.4079284651068796,False
SCGN,0.08874915552308107,0.5411916015367678,0.03948632444883022,0.1282354799719113,0.9457182643135121,0.2666489516060834,False
SCGB1C1,0.13553408926589808,0.24524935239168608,-0.012247279402361758,0.12328680986353631,0.9457182643135121,0.610392130749598,False
cOR51R2,-0.08340614206382108,0.525836847660174,0.17049928589159044,0.08709314382776936,0.9457182643135121,0.27914898427229373,False
SCGB1A1,0.1034240350639327,0.04456635252346488,-0.018409623899885846,0.08501441116404686,0.9457182643135121,1.3509929087398,False
SCG5,-0.16653371852576065,0.05905228660596939,0.00322486225061867,-0.163308856275142,0.9457182643135121,1.2287632810965623,False
cOR51K1P,0.05668470402159641,0.42372666516112967,-0.007031010847424053,0.049653693174172356,0.9457182643135121,0.37291420494414135,False
cOR51J3,-0.04920994447025147,0.24171398044594958,0.0298004794226051,-0.019409465047646363,0.9457182643135121,0.6166982297953321,False
cOR51H5,0.22836230406720187,0.42913318188770677,-0.6139692645574006,-0.38560696049019877,0.9457182643135121,0.36740790319378874,False
cOR51H3,0.18345771008748035,0.3056749009326533,-0.29326179341004727,-0.10980408332256693,0.9457182643135121,0.5147402198736969,False
cOR51G4,0.09415087266734015,0.5179151784963796,0.08724935498455166,0.18140022765189182,0.9457182643135121,0.2857413609639063,False
cOR51C5,-0.10362699069008809,0.2595311288789703,0.18515010821748268,0.08152311752739459,0.9457182643135121,0.5858105442140854,False
cOR51C4,0.05374069856506966,0.5309272444078856,-0.08757774916473385,-0.03383705059966419,0.9457182643135121,0.27496498836684524,False
cOR51A16,-0.09177834432339281,0.36663246431382956,0.19462911227229768,0.10285076794890487,0.9457182643135121,0.43576908206851256,False
ACN9,-0.07546923650364022,0.2747795775476501,0.009555133338085137,-0.06591410316555509,0.9457182643135121,0.5610155484973239,False
ACIN1,-0.025700038417172454,0.5394138654398439,0.0073926048599114585,-0.018307433557260996,0.9457182643135121,0.26807789435583784,False
SCG3,-0.15301383676448893,0.17717021866832258,0.10023923332013318,-0.05277460344435576,0.9457182643135121,0.7516092788090476,False
ACER3,-0.19220029813549258,0.06619891144125159,-0.05907374351363657,-0.25127404164912914,0.9457182643135121,1.179149151934085,False
